product_id,product_category,region,store_type,brand,sales_amount,discount,units_sold,purchase_amount,delivery_time,return_rate
pcdt437,Electronics,North,Retail,BrandA,717.87,45.53,59.35,959.46,4.6,0.07
pcdt939,Sports,North,Retail,BrandB,989.01,48.5,19.09,1104.54,5.62,0.08
pcdt694,Sports,East,Retail,BrandA,577.06,0.29,31.64,401.34,1.97,0.06
pcdt343,Clothing,North,Online,BrandD,999.86,18.91,49.91,1060.85,1.94,0.04
pcdt319,Clothing,East,Online,BrandB,987.74,37.08,49.77,1502.81,2.96,0.07
pcdt741,Home,East,Retail,BrandB,237.62,5.15,82.5,953.56,4.97,0.01
pcdt1031,Sports,East,Retail,BrandB,828.81,28.39,36.99,940.36,4.29,0.03
pcdt872,Sports,East,Retail,BrandD,415.46,3.33,49.5,1228.54,9.08,0.09
pcdt542,Electronics,West,Retail,BrandA,817.07,49.72,66.17,1885.57,6.89,0.07
pcdt685,Electronics,North,Retail,BrandA,859.14,14.92,82.24,776.26,7.56,0.03
pcdt273,Sports,West,Retail,BrandD,91.8,5.55,94.94,1326.12,6.77,0.04
pcdt465,Sports,East,Retail,BrandD,494.2,36.18,56.59,1794.89,6.11,0.01
pcdt474,Electronics,North,Online,BrandB,954.37,7.96,13.62,692.34,4.12,0.07
pcdt438,Home,East,Online,BrandD,879.62,10.03,8.33,1440.6,3.81,0.03
pcdt381,Clothing,North,Retail,BrandD,756.96,48.97,47.74,1255.01,6.03,0.04
pcdt513,Sports,West,Online,BrandD,567.8,32.45,53.11,1946.2,6.68,0.02
pcdt894,Sports,North,Retail,BrandC,214.61,24.13,34.93,305.25,7.35,0.04
pcdt460,Home,North,Retail,BrandC,903.7,23.79,63.11,1803.08,2.63,0.06
pcdt866,Clothing,West,Online,BrandD,536.58,12.19,35.2,289.61,8.08,0.01
pcdt1080,Electronics,West,Online,BrandA,124.02,49.14,29.84,385.73,3.57,0.07
pcdt503,Electronics,West,Online,BrandA,96.63,23.36,41.78,1412.0,8.86,0.02
pcdt934,Clothing,West,Retail,BrandA,38.12,32.87,30.99,660.91,6.78,0.06
pcdt181,Electronics,North,Retail,BrandB,19.0,31.53,83.65,458.82,7.09,0.01
pcdt534,Electronics,South,Online,BrandD,589.15,47.6,36.07,1402.25,6.26,0.05
pcdt551,Electronics,South,Retail,BrandC,833.63,9.92,46.85,1279.42,4.28,0.04
pcdt27,Electronics,East,Online,BrandA,902.21,7.45,13.66,1055.86,1.66,0.05
pcdt277,Home,East,Online,BrandD,57.8,30.81,53.2,862.95,3.18,0.09
pcdt1103,Clothing,East,Retail,BrandA,193.48,31.13,47.9,451.13,9.73,0.06
pcdt654,Clothing,West,Retail,BrandA,456.65,14.1,26.26,1716.36,1.86,0.07
pcdt833,Clothing,East,Retail,BrandA,11.62,42.94,54.49,1447.49,1.07,0.07
pcdt23,Sports,West,Retail,BrandB,80.66,8.67,75.59,1374.89,8.74,0.01
pcdt147,Electronics,West,Online,BrandA,886.14,0.56,22.85,1932.61,1.55,0.1
pcdt1162,Sports,West,Retail,BrandB,95.51,37.73,52.13,1149.02,3.07,0.06
pcdt832,Clothing,West,Online,BrandA,596.84,39.57,76.67,1231.42,3.59,0.02
pcdt331,Clothing,East,Retail,BrandD,333.41,26.23,42.01,1716.49,7.62,0.02
pcdt1177,Electronics,East,Retail,BrandB,945.76,12.37,15.19,197.32,1.53,0.06
pcdt754,Clothing,West,Retail,BrandB,548.25,8.38,19.55,100.34,2.33,0.05
pcdt470,Sports,North,Online,BrandA,519.47,34.65,49.24,56.24,5.42,0.02
pcdt54,Sports,North,Retail,BrandA,789.29,28.83,75.07,312.24,1.35,0.04
pcdt326,Clothing,East,Online,BrandD,996.33,28.95,39.88,57.67,7.33,0.08
pcdt476,Electronics,North,Retail,BrandA,671.74,34.15,18.74,1303.78,3.07,0.09
pcdt1108,Sports,West,Online,BrandC,356.81,39.42,67.35,752.57,4.16,0.01
pcdt518,Sports,North,Retail,BrandC,569.58,6.47,1.04,630.9,7.42,0.02
pcdt1120,Electronics,East,Online,BrandB,634.78,35.0,85.68,1353.15,8.68,0.04
pcdt286,Home,South,Online,BrandD,552.11,14.03,40.95,152.26,7.12,0.05
pcdt347,Sports,North,Retail,BrandD,254.4,9.22,32.66,1330.36,3.31,0.0
pcdt213,Home,South,Retail,BrandD,557.3,23.41,74.42,77.83,5.78,0.1
pcdt215,Electronics,North,Retail,BrandB,604.08,4.6,49.18,193.97,2.62,0.02
pcdt1037,Home,North,Retail,BrandC,917.45,15.93,64.92,133.68,1.1,0.04
pcdt780,Home,West,Online,BrandB,552.68,13.64,6.52,1876.45,6.91,0.01
pcdt1105,Sports,South,Online,BrandA,100.06,23.2,37.4,556.94,5.19,0.04
pcdt248,Clothing,East,Online,BrandB,644.22,4.96,17.06,1151.21,3.05,0.07
pcdt736,Electronics,West,Online,BrandD,694.8,19.67,72.91,448.88,8.1,0.04
pcdt1069,Electronics,South,Online,BrandC,482.93,45.97,72.83,1765.58,9.42,0.06
pcdt492,Home,East,Online,BrandA,687.31,9.56,85.03,367.24,7.11,0.09
pcdt625,Sports,West,Retail,BrandD,84.84,48.99,64.94,1534.11,3.09,0.05
pcdt1164,Electronics,East,Online,BrandD,176.55,31.58,48.86,1768.06,2.84,0.01
pcdt862,Clothing,South,Retail,BrandD,655.72,17.61,75.14,863.07,7.17,0.07
pcdt106,Clothing,East,Online,BrandD,697.74,27.84,10.4,178.6,8.77,0.06
pcdt673,Electronics,East,Online,BrandC,425.02,34.24,49.7,547.05,3.22,0.08
pcdt112,Clothing,East,Retail,BrandC,346.84,24.61,97.38,689.01,7.99,0.06
pcdt616,Home,South,Retail,BrandD,510.26,32.74,84.19,1717.96,7.81,0.08
pcdt92,Clothing,South,Online,BrandC,600.63,47.48,25.23,1094.49,5.15,0.05
pcdt313,Sports,West,Retail,BrandD,67.01,10.68,7.01,1139.09,2.98,0.06
pcdt785,Sports,South,Online,BrandC,777.07,29.19,93.67,143.07,4.01,0.09
pcdt918,Clothing,North,Online,BrandB,857.46,11.27,95.99,596.43,4.55,0.09
pcdt471,Clothing,South,Online,BrandB,324.33,18.9,61.96,1252.3,7.07,0.0
pcdt949,Clothing,East,Retail,BrandD,715.5,34.65,7.01,1092.33,6.75,0.03
pcdt394,Clothing,West,Retail,BrandB,990.43,27.76,98.65,695.04,6.95,0.04
pcdt619,Electronics,East,Online,BrandC,141.02,10.1,49.08,974.39,6.96,0.05
pcdt1123,Electronics,East,Online,BrandD,601.61,8.03,39.52,1729.32,1.27,0.04
pcdt49,Home,North,Online,BrandC,148.75,36.21,60.32,1955.47,8.85,0.01
pcdt902,Home,North,Online,BrandB,443.65,10.1,42.93,671.08,9.56,0.03
pcdt852,Clothing,South,Retail,BrandB,274.04,24.28,19.43,448.82,5.05,0.05
pcdt855,Home,North,Retail,BrandD,382.06,11.03,90.93,175.51,2.36,0.07
pcdt1145,Home,West,Online,BrandC,552.43,16.83,65.59,334.66,1.82,0.07
pcdt1194,Sports,West,Retail,BrandA,565.13,43.21,43.54,882.76,9.5,0.06
pcdt1040,Electronics,West,Online,BrandC,255.75,12.45,24.31,1059.99,4.26,0.09
pcdt206,Home,West,Online,BrandB,664.06,44.51,66.81,1762.08,1.11,0.02
pcdt138,Clothing,North,Retail,BrandA,95.34,15.46,14.86,1174.1,6.82,0.08
pcdt524,Electronics,East,Retail,BrandA,540.84,49.23,50.52,670.59,1.15,0.08
pcdt47,Sports,East,Retail,BrandD,401.58,13.29,97.96,1823.96,5.75,0.07
pcdt957,Sports,West,Online,BrandD,335.66,33.14,18.62,624.63,3.83,0.1
pcdt905,Sports,South,Retail,BrandC,133.5,7.59,67.47,1853.28,3.99,0.04
pcdt40,Home,West,Online,BrandC,617.65,44.0,64.28,1365.39,5.8,0.0
pcdt681,Electronics,South,Online,BrandB,743.03,11.15,73.99,1654.74,5.26,0.08
pcdt669,Clothing,West,Online,BrandB,278.7,32.91,86.04,1667.39,3.59,0.03
pcdt898,Electronics,North,Retail,BrandB,187.12,45.79,46.48,1520.64,4.2,0.04
pcdt796,Electronics,East,Retail,BrandA,324.06,41.97,36.59,1992.22,6.32,0.1
pcdt59,Electronics,West,Retail,BrandC,756.06,30.31,24.1,991.74,1.56,0.04
pcdt536,Clothing,East,Online,BrandD,285.16,18.72,91.15,1826.75,8.65,0.03
pcdt411,Electronics,West,Online,BrandC,142.24,39.09,77.52,1600.46,9.7,0.1
pcdt1095,Sports,West,Retail,BrandA,757.09,8.61,80.38,131.03,6.15,0.1
pcdt623,Electronics,North,Retail,BrandA,640.93,28.68,94.83,526.16,8.18,0.09
pcdt583,Clothing,South,Retail,BrandC,476.25,13.64,63.46,1667.46,6.31,0.0
pcdt723,Electronics,North,Online,BrandD,271.27,39.23,31.58,1701.35,6.35,0.07
pcdt786,Electronics,South,Online,BrandD,536.6,38.73,70.52,77.24,3.72,0.02
pcdt507,Home,East,Retail,BrandA,748.61,39.22,30.95,1853.01,7.71,0.02
pcdt307,Home,North,Retail,BrandC,735.27,28.08,72.42,60.83,7.99,0.01
pcdt16,Home,West,Retail,BrandD,855.33,46.77,53.17,1129.97,6.37,0.04
pcdt338,Clothing,West,Retail,BrandA,690.11,7.03,62.1,1966.59,9.67,0.07
pcdt446,Electronics,South,Online,BrandB,539.83,43.97,1.28,411.06,5.3,0.04
pcdt321,Sports,South,Retail,BrandD,402.25,8.09,52.38,1198.93,8.7,0.07
pcdt990,Clothing,North,Online,BrandB,420.04,31.01,68.27,1002.08,4.59,0.01
pcdt1142,Clothing,West,Online,BrandC,540.84,23.55,31.18,823.38,1.01,0.06
pcdt410,Clothing,South,Retail,BrandC,311.94,6.77,32.44,1700.31,2.05,0.05
pcdt871,Home,South,Retail,BrandC,162.96,15.83,1.35,1244.73,1.73,0.06
pcdt888,Sports,North,Retail,BrandD,323.16,41.31,10.83,1560.46,6.32,0.05
pcdt168,Home,North,Retail,BrandC,657.62,2.59,60.22,344.79,1.26,0.06
pcdt501,Clothing,North,Online,BrandA,933.11,3.18,43.47,1909.7,8.64,0.06
pcdt840,Clothing,East,Retail,BrandA,957.73,35.89,41.8,1597.16,8.7,0.04
pcdt679,Home,West,Online,BrandB,342.94,39.79,22.03,763.96,3.95,0.06
pcdt172,Home,West,Retail,BrandB,846.02,46.93,44.92,231.34,2.56,0.09
pcdt1067,Clothing,East,Online,BrandA,977.3,41.11,51.0,1978.5,8.16,0.07
pcdt890,Clothing,East,Online,BrandB,35.03,9.31,46.31,1271.48,8.13,0.01
pcdt210,Electronics,East,Retail,BrandB,355.88,18.89,98.0,479.09,7.98,0.0
pcdt651,Electronics,South,Online,BrandB,380.2,13.2,69.16,938.85,3.55,0.0
pcdt867,Clothing,South,Retail,BrandD,642.54,29.74,47.64,1393.08,5.72,0.05
pcdt634,Sports,South,Online,BrandC,941.77,42.29,54.26,353.46,4.4,0.02
pcdt198,Electronics,East,Online,BrandD,221.32,36.46,53.91,1157.98,9.08,0.07
pcdt258,Clothing,South,Retail,BrandA,901.98,2.65,51.52,931.78,8.47,0.05
pcdt457,Electronics,West,Online,BrandD,978.61,40.49,34.04,41.98,2.25,0.04
pcdt942,Home,West,Retail,BrandA,511.02,24.77,1.27,131.01,3.21,0.1
pcdt803,Sports,West,Online,BrandC,335.76,33.58,6.16,1059.12,8.18,0.03
pcdt810,Home,East,Online,BrandA,669.79,30.74,66.31,680.68,5.1,0.0
pcdt349,Home,East,Online,BrandD,406.64,23.42,59.02,1706.81,5.49,0.05
pcdt1014,Electronics,South,Retail,BrandD,151.14,44.75,96.1,1713.72,3.52,0.01
pcdt74,Electronics,South,Retail,BrandB,821.77,25.49,55.47,1720.51,7.71,0.0
pcdt436,Electronics,East,Retail,BrandC,630.84,12.69,72.38,175.14,9.86,0.04
pcdt769,Clothing,North,Online,BrandC,772.07,23.69,60.04,1030.31,6.28,0.09
pcdt134,Home,East,Online,BrandB,40.2,24.81,99.22,1158.36,3.51,0.04
pcdt784,Home,West,Online,BrandC,649.97,35.86,7.65,632.36,2.76,0.06
pcdt1093,Sports,East,Online,BrandD,590.23,6.68,51.73,260.45,9.88,0.04
pcdt770,Home,West,Retail,BrandB,489.37,38.9,77.8,1771.31,3.16,0.08
pcdt191,Electronics,East,Retail,BrandC,296.23,37.66,23.54,316.49,4.84,0.04
pcdt408,Home,North,Online,BrandB,830.87,14.99,6.69,522.4,3.29,0.09
pcdt477,Sports,South,Online,BrandB,119.48,19.01,29.79,336.11,9.73,0.02
pcdt253,Sports,South,Retail,BrandB,585.51,4.76,79.69,758.28,4.87,0.05
pcdt701,Clothing,South,Retail,BrandB,826.02,30.55,5.01,441.12,9.92,0.09
pcdt643,Sports,East,Retail,BrandA,194.93,2.28,45.46,1657.42,1.96,0.04
pcdt454,Home,East,Retail,BrandA,654.27,30.96,62.48,142.5,7.13,0.06
pcdt493,Home,North,Online,BrandC,578.01,27.61,28.77,1454.68,7.73,0.05
pcdt375,Sports,North,Online,BrandD,159.97,13.25,91.53,1186.21,6.06,0.08
pcdt111,Electronics,North,Online,BrandD,307.93,35.87,21.14,1186.7,9.37,0.09
pcdt521,Clothing,West,Online,BrandA,315.83,40.75,33.89,188.81,6.26,0.09
pcdt787,Sports,South,Online,BrandC,734.11,17.56,5.99,925.14,5.86,0.05
pcdt747,Clothing,North,Retail,BrandB,982.65,18.12,35.78,986.92,7.99,0.01
pcdt815,Sports,North,Online,BrandC,17.35,13.16,56.38,716.59,1.39,0.1
pcdt576,Clothing,North,Retail,BrandD,332.74,49.78,65.15,1261.58,9.2,0.07
pcdt32,Sports,West,Retail,BrandA,419.55,31.41,36.78,60.34,4.22,0.03
pcdt700,Clothing,South,Retail,BrandA,430.62,17.13,90.64,866.32,8.68,0.07
pcdt775,Home,East,Retail,BrandA,915.79,15.63,51.83,1231.52,1.14,0.01
pcdt675,Sports,South,Retail,BrandC,876.64,12.37,15.28,95.7,4.16,0.08
pcdt486,Electronics,East,Retail,BrandC,948.35,49.76,19.8,293.08,1.18,0.04
pcdt556,Sports,South,Online,BrandC,412.07,17.92,31.57,360.18,8.52,0.04
pcdt122,Home,South,Retail,BrandB,383.98,17.38,6.33,856.37,3.75,0.06
pcdt791,Home,West,Online,BrandA,540.61,47.35,33.36,663.24,5.88,0.08
pcdt851,Electronics,West,Online,BrandA,37.42,38.99,98.35,1158.02,8.3,0.0
pcdt113,Sports,South,Online,BrandD,51.11,2.38,8.25,103.19,9.39,0.08
pcdt322,Electronics,West,Retail,BrandA,348.01,4.82,89.46,1223.16,8.83,0.08
pcdt658,Clothing,East,Retail,BrandD,241.41,18.28,69.15,1990.16,2.81,0.05
pcdt697,Clothing,South,Retail,BrandA,150.36,39.96,31.99,171.63,9.56,0.03
pcdt992,Electronics,North,Online,BrandD,524.59,31.76,37.24,419.82,9.45,0.08
pcdt154,Clothing,North,Retail,BrandC,540.44,24.97,61.04,1823.14,9.64,0.08
pcdt639,Clothing,South,Retail,BrandA,227.36,1.93,94.61,1868.33,1.28,0.07
pcdt126,Electronics,North,Online,BrandB,39.44,2.19,46.98,1913.36,9.61,0.02
pcdt1041,Home,West,Online,BrandC,582.76,46.02,59.07,233.89,2.48,0.09
pcdt624,Sports,South,Online,BrandC,861.61,43.69,13.15,368.29,5.67,0.09
pcdt582,Clothing,East,Online,BrandA,618.75,31.95,56.35,829.72,4.28,0.01
pcdt520,Home,North,Online,BrandA,730.54,3.16,66.95,787.22,3.89,0.01
pcdt631,Home,East,Online,BrandC,554.39,27.81,86.33,1851.08,3.71,0.07
pcdt729,Clothing,West,Online,BrandB,687.16,41.77,68.43,1741.71,6.87,0.03
pcdt1166,Clothing,East,Online,BrandA,515.88,36.33,61.33,1117.55,3.85,0.04
pcdt802,Clothing,South,Retail,BrandA,719.86,15.99,2.25,1714.91,3.67,0.05
pcdt481,Electronics,South,Online,BrandD,766.04,17.97,30.86,1631.05,3.13,0.0
pcdt1126,Electronics,South,Retail,BrandA,939.35,5.01,60.66,949.98,1.46,0.04
pcdt745,Clothing,West,Retail,BrandB,494.21,13.25,5.23,1933.76,9.27,0.04
pcdt897,Clothing,North,Retail,BrandA,644.72,14.95,91.14,824.99,1.26,0.09
pcdt683,Clothing,East,Online,BrandA,37.3,45.21,78.07,967.61,4.58,0.09
pcdt911,Home,South,Online,BrandC,208.81,46.09,4.62,1264.28,6.96,0.1
pcdt713,Sports,South,Online,BrandB,655.37,39.14,4.73,448.62,6.8,0.09
pcdt638,Electronics,East,Online,BrandD,370.97,40.21,7.65,1841.46,9.75,0.01
pcdt340,Clothing,South,Online,BrandD,451.11,11.07,15.34,509.24,9.92,0.05
pcdt976,Sports,West,Online,BrandC,896.31,0.08,1.76,1412.9,7.57,0.02
pcdt1196,Sports,West,Online,BrandB,340.74,22.9,29.95,191.89,5.71,0.05
pcdt480,Electronics,East,Online,BrandD,468.22,5.68,72.8,1736.19,5.76,0.01
pcdt219,Home,East,Online,BrandC,74.38,41.99,80.26,346.39,3.65,0.03
pcdt393,Home,East,Online,BrandB,754.2,5.18,65.58,1362.59,9.05,0.06
pcdt1000,Sports,West,Retail,BrandA,755.02,28.27,27.52,1813.43,9.55,0.08
pcdt510,Clothing,South,Online,BrandB,847.65,49.93,55.97,584.73,9.45,0.06
pcdt602,Clothing,East,Retail,BrandA,186.62,21.21,18.43,1380.38,5.16,0.04
pcdt144,Electronics,East,Online,BrandC,318.58,4.86,30.05,593.38,4.89,0.03
pcdt841,Sports,West,Retail,BrandA,514.4,48.85,49.33,1367.82,7.69,0.09
pcdt868,Home,South,Online,BrandA,455.04,3.1,38.16,699.4,3.04,0.0
pcdt284,Home,West,Online,BrandD,836.7,15.06,60.68,1362.82,8.72,0.0
pcdt937,Home,West,Retail,BrandA,741.97,13.89,92.27,1525.38,8.71,0.01
pcdt13,Home,South,Retail,BrandC,819.07,19.68,23.31,1778.04,5.68,0.05
pcdt1039,Electronics,South,Online,BrandA,119.02,42.94,14.51,913.3,2.06,0.1
pcdt57,Electronics,East,Retail,BrandA,429.51,33.39,73.93,592.36,1.61,0.01
pcdt988,Clothing,West,Online,BrandA,837.08,24.79,12.53,796.89,1.07,0.06
pcdt1055,Sports,East,Online,BrandB,936.88,43.79,31.53,1023.03,4.22,0.1
pcdt87,Clothing,South,Online,BrandD,546.44,43.8,91.05,435.81,1.76,0.06
pcdt64,Sports,South,Retail,BrandC,379.95,43.39,90.78,958.73,9.37,0.05
pcdt1009,Electronics,East,Retail,BrandA,446.63,10.1,81.68,1249.14,2.65,0.07
pcdt463,Sports,South,Online,BrandC,104.12,17.57,22.99,365.8,2.62,0.06
pcdt1122,Home,East,Online,BrandA,223.83,18.36,45.54,281.24,5.16,0.09
pcdt204,Sports,North,Retail,BrandC,133.51,35.88,49.42,736.46,1.32,0.08
pcdt613,Sports,West,Retail,BrandA,581.44,23.16,83.64,325.7,8.0,0.03
pcdt316,Clothing,South,Online,BrandD,530.86,41.24,15.62,1698.18,2.29,0.03
pcdt362,Home,South,Online,BrandB,711.47,17.97,71.76,1290.1,2.9,0.04
pcdt565,Clothing,North,Online,BrandA,821.89,8.12,16.25,418.36,5.48,0.03
pcdt877,Electronics,East,Online,BrandA,566.85,38.39,2.11,391.85,1.55,0.09
pcdt264,Sports,West,Retail,BrandB,838.17,41.71,88.22,1777.36,2.35,0.06
pcdt148,Electronics,South,Online,BrandA,471.06,17.55,32.07,1317.11,2.3,0.01
pcdt199,Home,South,Online,BrandC,382.03,10.64,71.43,1086.9,6.54,0.07
pcdt1042,Home,South,Retail,BrandA,154.61,21.89,73.05,240.41,2.5,0.04
pcdt1136,Clothing,North,Online,BrandC,279.51,1.16,85.48,1309.79,3.07,0.02
pcdt1175,Electronics,East,Retail,BrandC,326.55,48.18,24.59,533.97,4.17,0.08
pcdt232,Electronics,East,Online,BrandD,990.28,5.52,78.94,1320.78,9.51,0.01
pcdt1013,Electronics,South,Online,BrandB,145.08,2.24,90.05,1796.51,1.45,0.06
pcdt164,Clothing,South,Online,BrandA,528.97,34.53,47.94,923.84,1.07,0.02
pcdt847,Clothing,East,Retail,BrandA,799.42,42.59,60.37,1915.5,8.03,0.1
pcdt696,Clothing,South,Online,BrandA,259.1,27.05,20.03,1030.89,6.91,0.01
pcdt136,Clothing,West,Online,BrandA,433.37,40.27,98.78,86.87,6.33,0.07
pcdt835,Clothing,North,Retail,BrandB,70.87,14.8,41.51,1446.91,3.08,0.08
pcdt310,Home,West,Retail,BrandA,76.05,14.13,5.96,182.24,5.01,0.03
pcdt120,Clothing,South,Retail,BrandC,182.5,16.32,92.55,1847.75,9.87,0.09
pcdt804,Home,West,Retail,BrandD,969.97,1.72,91.04,679.36,1.64,0.01
pcdt15,Sports,South,Online,BrandC,252.86,33.31,2.47,151.32,4.76,0.03
pcdt344,Electronics,South,Online,BrandB,380.99,2.14,98.09,1232.2,8.77,0.04
pcdt28,Electronics,West,Retail,BrandD,22.02,40.66,92.57,613.64,8.76,0.01
pcdt1127,Electronics,South,Retail,BrandD,904.79,9.1,6.58,545.72,6.97,0.09
pcdt396,Electronics,South,Retail,BrandA,680.69,16.07,25.72,891.02,7.41,0.01
pcdt951,Sports,West,Retail,BrandB,338.65,24.74,71.15,1610.1,1.28,0.03
pcdt1007,Home,East,Retail,BrandA,531.15,7.1,42.29,1755.55,2.36,0.03
pcdt468,Sports,West,Online,BrandC,666.63,15.21,5.38,514.98,4.48,0.09
pcdt742,Home,South,Online,BrandC,63.65,18.25,51.56,1333.79,7.23,0.08
pcdt294,Sports,East,Online,BrandC,203.17,39.43,59.12,1189.27,3.63,0.05
pcdt960,Sports,West,Online,BrandA,920.63,40.19,84.71,1012.92,4.77,0.02
pcdt977,Sports,North,Retail,BrandC,75.76,46.84,82.96,1778.12,6.98,0.04
pcdt365,Clothing,East,Retail,BrandB,40.61,23.07,2.87,566.6,4.71,0.05
pcdt466,Sports,West,Online,BrandA,999.12,20.23,62.9,1062.12,1.44,0.03
pcdt603,Electronics,East,Online,BrandA,328.2,40.51,45.54,1237.75,6.23,0.01
pcdt217,Sports,East,Retail,BrandA,249.2,36.65,72.56,1657.36,5.08,0.09
pcdt1011,Clothing,East,Retail,BrandC,119.32,2.4,41.84,1566.58,4.94,0.0
pcdt630,Sports,North,Retail,BrandA,653.07,14.89,55.38,1274.61,1.04,0.01
pcdt308,Home,East,Online,BrandC,50.54,8.27,61.84,1627.56,6.69,0.01
pcdt1046,Clothing,West,Online,BrandB,516.73,46.16,49.91,203.61,1.76,0.06
pcdt906,Sports,West,Online,BrandA,632.17,2.45,43.16,1268.81,7.83,0.04
pcdt882,Home,South,Retail,BrandA,872.69,13.8,53.29,1358.45,7.99,0.1
pcdt695,Clothing,West,Online,BrandD,498.51,40.25,49.19,780.61,3.4,0.05
pcdt369,Clothing,East,Online,BrandB,342.72,19.34,41.49,333.46,1.79,0.08
pcdt737,Home,South,Online,BrandC,694.41,30.04,67.33,1081.99,7.24,0.05
pcdt526,Home,North,Online,BrandB,858.47,24.37,75.36,82.16,5.71,0.03
pcdt884,Sports,West,Retail,BrandC,336.42,0.58,46.23,224.3,6.99,0.09
pcdt523,Clothing,South,Retail,BrandA,709.08,10.6,23.2,1626.14,4.68,0.06
